SequenceName	ClusterNumber
fragment37629	1
fragment37631	1
fragment37877	-1
fragment37881	-1
fragment37612	-1
fragment3633	2
fragment38075	2
fragment37875	3
fragment37876	3
fragment1592	-1
fragment1594	-1
fragment3629	-1
fragment3046	-1
fragment3047	4
fragment4344	4
fragment4341	4
fragment4338	4
fragment4337	4
fragment4346	-1
fragment4334	5
fragment4342	5
fragment11090	6
fragment4343	6
fragment2220	-1
fragment27081	7
fragment2148	7
fragment2016	-1
fragment2594	8
fragment24652	8
fragment2027	-1
fragment2532	-1
fragment1490	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment1540	-1
fragment38070	-1
fragment1509	-1
fragment1448	-1
fragment1530	-1
fragment2785	-1
fragment25686	9
fragment25785	9
fragment24721	9
fragment25009	9
fragment25718	9
fragment25706	9
fragment25792	9
fragment24738	9
fragment25061	9
fragment15914	9
fragment25680	9
fragment24741	9
fragment24988	9
fragment24984	9
fragment24724	9
fragment24736	9
fragment24791	9
fragment24792	9
fragment25006	9
fragment25768	9
fragment25700	9
fragment25008	9
fragment25007	9
fragment24735	9
fragment25819	9
fragment25681	9
fragment25688	9
fragment25687	9
fragment25053	9
fragment25695	9
fragment25699	9
fragment24757	9
fragment4449	9
fragment24753	9
fragment6444	-1
fragment24797	10
fragment25879	10
fragment26047	10
fragment26051	10
fragment25752	10
fragment25750	10
fragment25850	10
fragment24975	10
fragment25651	10
fragment25805	10
fragment25782	10
fragment25673	10
fragment25740	10
fragment25794	10
fragment24971	10
fragment25786	10
fragment25859	10
fragment25860	10
fragment25741	10
fragment25714	10
fragment26365	10
fragment25851	10
fragment26004	10
fragment25833	10
fragment25742	10
fragment25982	10
fragment25734	10
fragment24722	10
fragment25671	10
fragment24961	10
fragment25738	10
fragment25737	10
fragment25749	10
fragment25753	10
fragment4357	-1
fragment1898	-1
fragment37522	-1
fragment25802	11
fragment24972	11
fragment24807	11
fragment25090	11
fragment24970	11
fragment25837	11
fragment24685	11
fragment24682	11
fragment24798	11
fragment24796	11
fragment25997	11
fragment26357	11
fragment24958	11
fragment24950	11
fragment24951	11
fragment24801	11
fragment24805	11
fragment25991	11
fragment25973	11
fragment24959	11
fragment24955	11
fragment25840	11
fragment25843	11
fragment24790	11
fragment26001	11
fragment25990	11
fragment25950	11
fragment24844	11
fragment21534	11
fragment24828	11
fragment25012	11
fragment25452	11
fragment24622	11
fragment24619	11
fragment25032	11
fragment25050	11
fragment25951	11
fragment25020	11
fragment25013	11
fragment24620	11
fragment24621	11
fragment24623	11
fragment25038	11
fragment24710	11
fragment24968	11
fragment24973	11
fragment25772	11
fragment25019	11
fragment25021	11
fragment25014	11
fragment25015	11
fragment24793	11
fragment24649	11
fragment24615	11
fragment25028	11
fragment25469	11
fragment24907	11
fragment24898	11
fragment35285	11
fragment24931	11
fragment24902	11
fragment25025	11
fragment25036	11
fragment25041	11
fragment25046	11
fragment25773	11
fragment25946	11
fragment26025	11
fragment6751	11
fragment25494	11
fragment24888	11
fragment25047	11
fragment24770	11
fragment25774	11
fragment25777	11
fragment25082	11
fragment25888	11
fragment33619	11
fragment25895	11
fragment24897	11
fragment25045	11
fragment25039	11
fragment24795	11
fragment24789	11
fragment9567	11
fragment22874	11
fragment25980	11
fragment25912	11
fragment26345	11
fragment24886	11
fragment25894	11
fragment25955	11
fragment25969	11
fragment25902	11
fragment24896	11
fragment25920	11
fragment25472	11
fragment24910	11
fragment25890	11
fragment25918	11
fragment24921	11
fragment25482	11
fragment25934	11
fragment24903	11
fragment25957	11
fragment25915	11
fragment24904	11
fragment4458	11
fragment25500	11
fragment25916	11
fragment24905	11
fragment25979	11
fragment24909	11
fragment25930	11
fragment24918	11
fragment25928	11
fragment9414	11
fragment25968	11
fragment9318	11
fragment25899	11
fragment24889	11
fragment25910	11
fragment25904	11
fragment25063	11
fragment24900	11
fragment24890	11
fragment24887	11
fragment25652	12
fragment25001	12
fragment25456	12
fragment25459	12
fragment25989	12
fragment24855	12
fragment25800	12
fragment25725	12
fragment24824	12
fragment24862	12
fragment25100	12
fragment24936	12
fragment24838	12
fragment24841	12
fragment24848	12
fragment24825	12
fragment24818	12
fragment24845	12
fragment24849	12
fragment24842	12
fragment24840	12
fragment24937	12
fragment24860	12
fragment24851	12
fragment24846	12
fragment24843	12
fragment24872	12
fragment24870	12
fragment24876	12
fragment24866	12
fragment24869	12
fragment24873	12
fragment25676	13
fragment24787	13
fragment25799	13
fragment25849	13
fragment24782	13
fragment25692	13
fragment24837	13
fragment25696	13
fragment24808	13
fragment24675	13
fragment24732	13
fragment24957	13
fragment25727	13
fragment25710	13
fragment25848	13
fragment24962	13
fragment24956	13
fragment25981	13
fragment25057	13
fragment25804	14
fragment24734	14
fragment26039	14
fragment25852	14
fragment25602	14
fragment25638	14
fragment25110	14
fragment25109	14
fragment24990	14
fragment25762	14
fragment25075	14
fragment25824	14
fragment26009	14
fragment24995	14
fragment24994	14
fragment24693	14
fragment25599	14
fragment25632	14
fragment25759	14
fragment25531	14
fragment25523	14
fragment25544	14
fragment25541	14
fragment24731	14
fragment24966	14
fragment25758	14
fragment25760	14
fragment24720	14
fragment25661	14
fragment25619	14
fragment25596	14
fragment24777	14
fragment25528	14
fragment25527	14
fragment25518	14
fragment25621	14
fragment25620	14
fragment25557	14
fragment25558	14
fragment25560	14
fragment25583	14
fragment25821	14
fragment24774	14
fragment24779	14
fragment1895	14
fragment26348	14
fragment25571	14
fragment25660	14
fragment25490	14
fragment25665	14
fragment25607	14
fragment10417	14
fragment25565	14
fragment26045	14
fragment25662	14
fragment25825	14
fragment25815	14
fragment25613	14
fragment25623	14
fragment25543	14
fragment25579	14
fragment25635	14
fragment24690	14
fragment25547	14
fragment25585	14
fragment5622	14
fragment25624	14
fragment9145	14
fragment25595	14
fragment2780	-1
fragment2778	-1
fragment2781	-1
