SequenceName	ClusterNumber
fragment4230	20
fragment4235	20
fragment4224	20
fragment4225	20
fragment4232	20
fragment4231	20
fragment4218	20
fragment4234	20
fragment4213	20
fragment4211	20
fragment2780	-1
fragment2778	-1
fragment4163	21
fragment4165	21
fragment2779	21
fragment4190	21
fragment4166	22
fragment4171	22
fragment2781	22
fragment9478	23
fragment3128	23
fragment4147	23
fragment4162	23
fragment3098	23
fragment4144	23
fragment4154	23
fragment4176	23
fragment3151	23
fragment3142	23
fragment3141	23
fragment4446	23
fragment38229	23
fragment4149	23
fragment3160	23
fragment3102	23
fragment3122	23
fragment3118	23
fragment3121	23
fragment3159	23
fragment3152	23
fragment3143	23
fragment3153	23
fragment3112	23
fragment3124	23
fragment3115	23
fragment3145	23
fragment3095	23
fragment3200	23
fragment3133	23
fragment3173	23
fragment3090	23
fragment3132	23
fragment3149	23
fragment3147	23
fragment3120	23
fragment3113	23
fragment2534	-1
fragment2087	24
fragment2103	24
fragment2074	25
fragment2189	25
fragment2076	25
fragment37820	26
fragment9494	26
fragment2031	26
fragment1966	26
fragment9493	26
fragment10441	26
fragment3671	27
fragment2136	27
fragment3673	27
fragment10192	28
fragment10193	28
fragment10243	28
fragment10199	28
fragment10257	28
fragment10256	28
fragment10333	28
fragment10158	28
fragment10218	28
fragment10345	28
fragment10398	28
fragment10332	28
fragment6710	28
fragment10175	28
fragment10190	28
fragment10187	28
fragment10343	28
fragment10151	28
fragment10152	28
fragment10366	28
fragment28815	28
fragment10235	28
fragment10234	28
fragment10163	28
fragment37818	28
fragment38152	28
fragment8975	28
fragment8976	28
fragment10076	28
fragment37543	28
fragment37947	28
fragment10334	28
fragment10108	28
fragment6379	28
fragment10386	28
fragment10412	28
fragment8978	28
fragment10207	28
fragment10068	28
fragment8981	28
fragment8979	28
fragment10237	28
fragment10067	28
fragment10254	28
fragment10314	28
fragment10065	28
fragment10031	28
fragment10341	28
fragment9261	29
fragment9229	29
fragment9228	29
fragment9401	29
fragment9195	29
fragment9995	29
fragment9185	29
fragment9188	29
fragment9227	29
fragment9226	29
fragment9269	29
fragment9194	29
fragment9215	29
fragment37524	29
fragment37519	29
fragment9244	29
fragment9241	29
fragment9449	29
fragment9402	29
fragment9333	29
fragment9280	29
fragment9282	29
fragment35004	29
fragment9121	29
fragment9120	29
fragment9399	29
fragment9334	29
fragment9428	29
fragment9214	29
fragment9400	29
fragment9266	29
fragment9205	29
fragment9217	29
fragment9192	29
fragment9273	29
