SequenceName	ClusterNumber
fragment1490	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment1509	-1
fragment1448	-1
fragment4185	1
fragment4181	1
fragment4182	1
fragment4180	1
fragment1540	1
fragment6444	2
fragment25686	2
fragment25785	2
fragment25676	2
fragment24787	2
fragment24721	2
fragment25009	2
fragment25718	2
fragment25706	2
fragment25792	2
fragment25799	2
fragment25849	2
fragment24782	2
fragment25692	2
fragment24837	2
fragment2785	2
fragment25696	2
fragment24808	2
fragment24675	2
fragment24732	2
fragment24738	2
fragment25061	2
fragment15914	2
fragment25680	2
fragment24957	2
fragment25727	2
fragment24741	2
fragment24988	2
fragment24984	2
fragment24724	2
fragment24736	2
fragment24791	2
fragment24792	2
fragment25006	2
fragment25710	2
fragment25848	2
fragment24962	2
fragment25768	2
fragment25700	2
fragment25008	2
fragment25007	2
fragment24735	2
fragment24956	2
fragment25819	2
fragment25681	2
fragment25688	2
fragment25687	2
fragment25981	2
fragment25057	2
fragment25053	2
fragment25695	2
fragment25699	2
fragment24757	2
fragment4449	2
fragment24753	2
fragment38100	-1
fragment1968	3
fragment2606	3
fragment37620	3
fragment2605	3
fragment38099	3
fragment37845	3
fragment37842	3
fragment4349	4
fragment37857	4
fragment2052	4
fragment37853	4
fragment1984	4
fragment38206	-1
fragment38200	-1
fragment38205	-1
fragment8666	5
fragment8637	5
fragment8841	5
fragment8641	5
fragment8846	5
fragment8788	5
fragment8787	5
fragment8591	5
fragment8615	5
fragment8843	5
fragment3727	5
fragment8620	5
fragment8578	5
fragment8645	5
fragment8646	5
fragment8659	5
fragment8661	5
fragment8836	5
fragment8849	5
fragment8647	5
fragment3738	5
fragment8650	5
fragment8580	5
fragment8597	5
fragment8874	5
fragment8854	5
fragment8792	5
fragment8588	5
fragment8587	5
fragment8663	5
fragment8640	5
fragment8649	5
fragment8669	5
fragment8632	5
fragment8594	5
fragment8623	5
fragment2300	5
fragment8628	5
fragment8865	5
fragment8644	5
fragment8582	5
fragment8581	5
fragment8634	5
fragment4423	5
fragment4411	5
fragment8572	5
fragment8852	5
fragment8862	5
fragment8612	5
fragment8648	5
fragment8658	5
fragment8592	5
fragment8584	5
fragment3777	5
fragment3779	5
fragment3734	5
fragment38197	5
fragment3730	5
fragment3731	5
fragment8850	5
fragment8864	5
fragment8601	5
fragment8861	5
fragment8866	5
fragment8877	5
fragment8664	5
fragment4587	5
fragment8860	5
fragment8610	5
fragment8606	5
fragment8781	5
fragment8574	5
fragment8577	5
fragment8608	5
fragment8617	5
fragment4414	6
fragment4281	6
fragment4075	6
fragment3741	6
fragment4280	6
fragment4413	6
fragment3742	6
fragment3972	6
fragment3997	6
fragment3998	6
fragment4074	6
fragment4073	6
fragment4080	6
fragment4079	6
fragment4123	6
fragment4061	6
fragment4027	6
fragment8835	6
fragment8808	6
fragment4077	6
fragment3966	6
fragment4002	6
fragment8801	6
fragment8829	6
fragment4076	6
fragment4078	6
fragment3983	6
fragment3952	6
fragment4105	6
fragment8888	6
fragment3929	6
fragment3932	6
fragment3928	6
fragment3948	6
fragment4121	6
fragment4033	6
fragment4007	6
fragment8890	6
fragment3967	6
fragment3974	6
fragment3956	6
fragment3949	6
fragment3950	6
fragment4110	6
fragment4111	6
fragment4102	6
fragment4036	6
fragment3797	6
fragment3798	6
fragment3999	6
fragment4003	6
fragment3751	6
fragment8884	6
fragment8885	6
fragment8807	6
fragment8871	6
fragment8833	6
fragment8813	6
fragment8803	6
fragment3939	6
fragment3942	6
fragment3963	6
fragment3954	6
fragment4103	6
fragment4112	6
fragment4071	6
fragment8822	6
fragment8815	6
fragment8831	6
fragment8799	6
fragment8802	6
fragment3945	6
fragment3953	6
fragment3955	6
fragment1479	6
fragment1440	6
fragment4115	6
fragment4068	6
fragment4067	6
fragment4100	6
fragment4099	6
fragment3970	6
fragment3959	6
fragment4045	6
fragment4104	6
fragment4057	6
fragment4049	6
fragment4043	6
fragment4097	6
fragment4010	6
fragment3814	6
fragment8785	6
fragment8798	6
fragment8795	6
fragment8797	6
fragment4025	6
fragment4106	6
fragment4108	6
fragment3794	6
fragment3884	6
fragment4039	6
fragment4098	6
fragment4014	6
fragment4085	6
fragment3803	6
fragment3813	6
fragment4038	6
fragment4086	6
fragment3924	6
fragment3783	6
fragment3818	6
fragment3841	6
fragment4028	6
fragment4050	6
fragment4090	6
fragment3802	6
fragment3806	6
fragment3886	6
fragment3885	6
fragment3868	6
fragment3829	6
fragment3831	6
fragment3855	6
fragment3856	6
fragment38195	6
fragment3834	6
fragment3825	6
fragment4087	6
fragment4089	6
fragment3869	6
fragment3900	6
fragment3870	6
fragment2560	6
fragment3872	6
fragment3849	6
