SequenceName	ClusterNumber
fragment1483	1
fragment1512	1
fragment1458	1
fragment1490	1
fragment1540	1
fragment25652	2
fragment25001	2
fragment25804	2
fragment24734	2
fragment24797	2
fragment25456	2
fragment25459	2
fragment25989	2
fragment24855	2
fragment26039	2
fragment25852	2
fragment25879	2
fragment25800	2
fragment25725	2
fragment24824	2
fragment25602	2
fragment25638	2
fragment25110	2
fragment25109	2
fragment25802	2
fragment24972	2
fragment24990	2
fragment25762	2
fragment25075	2
fragment25824	2
fragment26047	2
fragment26051	2
fragment25752	2
fragment24862	2
fragment26009	2
fragment24807	2
fragment25090	2
fragment24970	2
fragment25837	2
fragment24685	2
fragment24682	2
fragment24995	2
fragment24994	2
fragment25750	2
fragment25850	2
fragment24975	2
fragment25651	2
fragment25805	2
fragment25782	2
fragment25673	2
fragment25740	2
fragment25794	2
fragment25100	2
fragment24693	2
fragment25599	2
fragment25632	2
fragment24798	2
fragment1898	2
fragment24796	2
fragment37522	2
fragment25759	2
fragment24971	2
fragment25786	2
fragment25859	2
fragment25860	2
fragment25741	2
fragment25714	2
fragment24936	2
fragment25531	2
fragment25523	2
fragment25544	2
fragment25541	2
fragment25997	2
fragment26357	2
fragment24958	2
fragment24950	2
fragment24951	2
fragment24801	2
fragment24805	2
fragment24731	2
fragment24966	2
fragment25758	2
fragment25760	2
fragment26365	2
fragment25851	2
fragment26004	2
fragment25833	2
fragment25742	2
fragment25982	2
fragment24838	2
fragment25991	2
fragment25973	2
fragment24959	2
fragment24955	2
fragment25840	2
fragment25843	2
fragment24790	2
fragment24720	2
fragment25661	2
fragment25734	2
fragment24722	2
fragment25671	2
fragment24841	2
fragment25619	2
fragment25596	2
fragment26001	2
fragment25990	2
fragment25950	2
fragment24844	2
fragment21534	2
fragment24828	2
fragment25012	2
fragment25452	2
fragment24622	2
fragment24619	2
fragment25032	2
fragment25050	2
fragment24777	2
fragment24961	2
fragment24848	2
fragment25528	2
fragment25527	2
fragment25518	2
fragment25621	2
fragment25620	2
fragment25557	2
fragment25558	2
fragment25560	2
fragment25583	2
fragment25951	2
fragment25020	2
fragment25013	2
fragment24620	2
fragment24621	2
fragment24623	2
fragment25038	2
fragment24710	2
fragment24968	2
fragment24973	2
fragment25772	2
fragment25821	2
fragment24774	2
fragment24779	2
fragment25738	2
fragment24825	2
fragment1895	2
fragment26348	2
fragment25571	2
fragment25019	2
fragment25021	2
fragment25014	2
fragment25015	2
fragment24793	2
fragment24649	2
fragment24615	2
fragment25028	2
fragment25469	2
fragment25660	2
fragment25490	2
fragment25665	2
fragment25607	2
fragment25737	2
fragment24818	2
fragment10417	2
fragment25565	2
fragment24907	2
fragment24898	2
fragment35285	2
fragment24931	2
fragment24902	2
fragment25025	2
fragment25036	2
fragment25041	2
fragment25046	2
fragment25773	2
fragment26045	2
fragment25662	2
fragment25825	2
fragment25815	2
fragment25749	2
fragment25753	2
fragment24845	2
fragment25613	2
fragment4357	2
fragment25623	2
fragment25543	2
fragment25579	2
fragment25946	2
fragment26025	2
fragment6751	2
fragment25494	2
fragment24888	2
fragment25047	2
fragment24770	2
fragment25774	2
fragment25777	2
fragment24849	2
fragment25635	2
fragment24690	2
fragment25547	2
fragment25585	2
fragment25082	2
fragment25888	2
fragment33619	2
fragment25895	2
fragment24897	2
fragment25045	2
fragment25039	2
fragment24795	2
fragment24789	2
fragment24842	2
fragment5622	2
fragment25624	2
fragment9145	2
fragment25595	2
fragment9567	2
fragment22874	2
fragment25980	2
fragment25912	2
fragment26345	2
fragment24886	2
fragment24840	2
fragment25894	2
fragment25955	2
fragment25969	2
fragment25902	2
fragment24896	2
fragment24937	2
fragment25920	2
fragment25472	2
fragment24910	2
fragment24860	2
fragment25890	2
fragment25918	2
fragment24921	2
fragment24851	2
fragment25482	2
fragment25934	2
fragment24903	2
fragment24846	2
fragment25957	2
fragment25915	2
fragment24904	2
fragment24843	2
fragment4458	2
fragment25500	2
fragment25916	2
fragment24905	2
fragment24872	2
fragment25979	2
fragment24909	2
fragment24870	2
fragment25930	2
fragment24918	2
fragment24876	2
fragment25928	2
fragment9414	2
fragment24866	2
fragment25968	2
fragment9318	2
fragment24869	2
fragment24873	2
fragment25899	2
fragment24889	2
fragment25910	2
fragment25904	2
fragment25063	2
fragment24900	2
fragment24890	2
fragment24887	2
fragment4201	3
fragment4185	3
fragment4183	3
fragment4181	3
fragment1454	3
fragment4196	3
fragment4182	3
fragment4180	3
fragment1453	3
fragment38070	3
fragment4251	3
fragment4238	3
fragment1448	3
fragment4204	3
fragment1509	3
fragment1530	3
fragment4241	3
fragment4239	3
fragment4209	3
fragment4244	3
fragment4242	3
fragment4229	3
fragment4230	3
fragment4235	3
fragment4224	3
fragment4225	3
fragment4232	3
fragment4231	3
fragment4218	3
fragment4234	3
fragment4213	3
fragment4211	3
fragment2534	4
fragment37820	4
fragment3671	4
fragment37771	4
fragment2136	4
fragment3673	4
fragment9164	4
fragment9166	4
fragment9478	4
fragment3128	4
fragment9494	4
fragment4166	4
fragment2074	4
fragment2031	4
fragment1966	4
fragment9493	4
fragment10441	4
fragment4171	4
fragment4163	4
fragment4147	4
fragment2778	4
fragment4165	4
fragment2087	4
fragment2103	4
fragment2189	4
fragment2076	4
fragment2781	4
fragment2780	4
fragment2779	4
fragment4190	4
fragment4162	4
fragment3098	4
fragment4144	4
fragment4154	4
fragment4176	4
fragment3151	4
fragment3142	4
fragment3141	4
fragment4446	4
fragment38229	4
fragment4149	4
fragment3160	4
fragment3102	4
fragment3122	4
fragment3118	4
fragment3121	4
fragment3159	4
fragment3152	4
fragment3143	4
fragment3153	4
fragment3112	4
fragment3124	4
fragment3115	4
fragment3145	4
fragment3095	4
fragment3200	4
fragment3133	4
fragment3173	4
fragment3090	4
fragment3132	4
