SequenceName	ClusterNumber
fragment1458	1
fragment1490	1
fragment1540	1
fragment1483	2
fragment1512	2
fragment4251	3
fragment4238	3
fragment1448	3
fragment1509	3
fragment1530	3
fragment26039	4
fragment25602	4
fragment25638	4
fragment25110	4
fragment25109	4
fragment25802	4
fragment24972	4
fragment26009	4
fragment24807	4
fragment25090	4
fragment24970	4
fragment25837	4
fragment24685	4
fragment24682	4
fragment24693	4
fragment25599	4
fragment25632	4
fragment24798	4
fragment1898	4
fragment24796	4
fragment37522	4
fragment25531	4
fragment25523	4
fragment25544	4
fragment25541	4
fragment25997	4
fragment26357	4
fragment24958	4
fragment24950	4
fragment24951	4
fragment24801	4
fragment24805	4
fragment25991	4
fragment25973	4
fragment24959	4
fragment24955	4
fragment25840	4
fragment25843	4
fragment24790	4
fragment25619	4
fragment25596	4
fragment26001	4
fragment25990	4
fragment25950	4
fragment24844	4
fragment21534	4
fragment24828	4
fragment25012	4
fragment25452	4
fragment24622	4
fragment24619	4
fragment25032	4
fragment25050	4
fragment25528	4
fragment25527	4
fragment25518	4
fragment25621	4
fragment25620	4
fragment25557	4
fragment25558	4
fragment25560	4
fragment25583	4
fragment25951	4
fragment25020	4
fragment25013	4
fragment24620	4
fragment24621	4
fragment24623	4
fragment25038	4
fragment24710	4
fragment24968	4
fragment24973	4
fragment25772	4
fragment1895	4
fragment26348	4
fragment25571	4
fragment25019	4
fragment25021	4
fragment25014	4
fragment25015	4
fragment24793	4
fragment24649	4
fragment24615	4
fragment25028	4
fragment25469	4
fragment10417	4
fragment25565	4
fragment24907	4
fragment24898	4
fragment35285	4
fragment24931	4
fragment24902	4
fragment25025	4
fragment25036	4
fragment25041	4
fragment25046	4
fragment25773	4
fragment25613	4
fragment4357	4
fragment25623	4
fragment25543	4
fragment25579	4
fragment25946	4
fragment26025	4
fragment6751	4
fragment25494	4
fragment24888	4
fragment25047	4
fragment24770	4
fragment25774	4
fragment25777	4
fragment25635	4
fragment24690	4
fragment25547	4
fragment25585	4
fragment25082	4
fragment25888	4
fragment33619	4
fragment25895	4
fragment24897	4
fragment25045	4
fragment25039	4
fragment24795	4
fragment24789	4
fragment5622	4
fragment25624	4
fragment9145	4
fragment25595	4
fragment9567	4
fragment22874	4
fragment25980	4
fragment25912	4
fragment26345	4
fragment24886	4
fragment25894	4
fragment25955	4
fragment25969	4
fragment25902	4
fragment24896	4
fragment25920	4
fragment25472	4
fragment24910	4
fragment25890	4
fragment25918	4
fragment24921	4
fragment25482	4
fragment25934	4
fragment24903	4
fragment25957	4
fragment25915	4
fragment24904	4
fragment4458	4
fragment25500	4
fragment25916	4
fragment24905	4
fragment25979	4
fragment24909	4
fragment25930	4
fragment24918	4
fragment25928	4
fragment9414	4
fragment25968	4
fragment9318	4
fragment25899	4
fragment24889	4
fragment25910	4
fragment25904	4
fragment25063	4
fragment24900	4
fragment24890	4
fragment24887	4
fragment25652	5
fragment25001	5
fragment25804	5
fragment24734	5
fragment24797	5
fragment25456	5
fragment25459	5
fragment25989	5
fragment24855	5
fragment25852	5
fragment25879	5
fragment25800	5
fragment25725	5
fragment24824	5
fragment24990	5
fragment25762	5
fragment25075	5
fragment25824	5
fragment26047	5
fragment26051	5
fragment25752	5
fragment24862	5
fragment24995	5
fragment24994	5
fragment25750	5
fragment25850	5
fragment24975	5
fragment25651	5
fragment25805	5
fragment25782	5
fragment25673	5
fragment25740	5
fragment25794	5
fragment25100	5
fragment25759	5
fragment24971	5
fragment25786	5
fragment25859	5
fragment25860	5
fragment25741	5
fragment25714	5
fragment24936	5
fragment24731	5
fragment24966	5
fragment25758	5
fragment25760	5
fragment26365	5
fragment25851	5
fragment26004	5
fragment25833	5
fragment25742	5
fragment25982	5
fragment24838	5
fragment24720	5
fragment25661	5
fragment25734	5
fragment24722	5
fragment25671	5
fragment24841	5
fragment24777	5
fragment24961	5
fragment24848	5
fragment25821	5
fragment24774	5
fragment24779	5
fragment25738	5
fragment24825	5
fragment25660	5
fragment25490	5
fragment25665	5
fragment25607	5
fragment25737	5
fragment24818	5
fragment26045	5
fragment25662	5
fragment25825	5
fragment25815	5
fragment25749	5
fragment25753	5
fragment24845	5
fragment24849	5
fragment24842	5
fragment24840	5
fragment24937	5
fragment24860	5
fragment24851	5
fragment24846	5
fragment24843	5
fragment24872	5
fragment24870	5
fragment24876	5
fragment24866	5
fragment24869	5
fragment24873	5
fragment4201	6
fragment4185	6
fragment4183	6
fragment4181	6
fragment1454	6
fragment4196	6
fragment4182	6
fragment4180	6
fragment1453	6
fragment38070	6
fragment4204	6
fragment4241	6
