SequenceName	ClusterNumber
fragment37877	-1
fragment37881	-1
fragment37875	1
fragment37876	1
fragment37629	1
fragment37631	1
fragment3633	1
fragment38075	1
fragment37612	1
fragment1925	1
fragment1928	1
fragment1927	1
fragment1930	1
fragment1944	1
fragment1923	1
fragment1922	1
fragment1938	1
fragment1936	1
fragment1939	1
fragment1941	1
fragment1940	1
fragment1924	1
fragment1937	1
fragment1931	1
fragment1933	1
fragment1594	-1
fragment1592	-1
fragment2220	-1
fragment1490	-1
fragment1540	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment1509	-1
fragment1530	-1
fragment1448	-1
fragment2785	-1
fragment2781	-1
fragment2780	-1
fragment2778	-1
fragment2779	-1
fragment2534	-1
fragment1993	-1
fragment10897	-1
fragment2990	-1
fragment10902	-1
fragment2550	-1
fragment10895	-1
fragment11281	-1
fragment11280	-1
fragment4305	-1
fragment37880	-1
fragment2052	-1
fragment37853	-1
fragment1984	-1
fragment38100	-1
fragment38099	-1
fragment1968	-1
fragment4349	-1
fragment38200	-1
fragment38206	-1
fragment38205	-1
fragment38197	-1
fragment38195	-1
fragment38218	-1
fragment2815	-1
fragment38158	-1
fragment1547	2
fragment1478	2
fragment1568	3
fragment1465	3
fragment1473	3
fragment1425	-1
fragment1571	-1
fragment1855	4
fragment1477	4
fragment1517	-1
fragment1574	-1
fragment1516	-1
fragment1461	-1
fragment37470	-1
fragment1859	-1
fragment2592	-1
fragment1886	-1
fragment2047	-1
fragment2554	5
fragment2553	5
fragment2555	-1
fragment38182	-1
fragment38154	-1
fragment38088	-1
fragment2806	-1
fragment2775	-1
fragment2613	-1
fragment37909	-1
fragment2809	-1
fragment38240	-1
fragment1996	-1
fragment37885	-1
fragment37884	-1
fragment37886	-1
fragment2163	-1
fragment2588	-1
fragment2993	-1
fragment38228	-1
fragment37872	-1
fragment37873	-1
fragment2585	-1
fragment37615	-1
fragment1579	-1
fragment2536	-1
fragment38191	-1
fragment38221	-1
fragment2823	-1
fragment2824	-1
fragment1904	-1
fragment2066	-1
fragment2070	-1
fragment2068	6
fragment2012	6
fragment2153	-1
fragment3629	7
fragment37606	7
fragment2997	7
fragment11090	7
fragment37867	7
fragment4343	7
fragment11287	7
fragment27081	7
fragment2148	7
fragment2016	7
fragment4334	7
fragment4342	7
fragment2594	7
fragment24652	7
fragment11376	7
fragment7485	7
fragment4346	7
fragment3046	7
fragment3047	7
fragment4344	7
fragment9720	7
fragment9616	7
fragment10470	7
fragment8686	7
fragment9594	7
fragment2734	7
fragment2125	7
fragment7484	7
fragment4341	7
fragment4273	7
fragment4134	7
fragment9593	7
fragment10821	7
fragment10819	7
fragment2739	7
fragment10655	7
fragment4338	7
fragment4337	7
fragment9647	7
fragment9495	7
fragment38155	7
fragment38156	7
fragment38145	7
fragment4348	7
fragment4307	7
fragment4329	7
fragment8769	7
fragment8771	7
fragment9948	7
fragment9947	7
fragment2736	7
fragment2738	7
fragment2636	7
fragment9649	7
fragment9645	7
fragment9672	7
fragment9620	7
fragment9610	7
fragment9614	7
fragment9627	7
fragment9629	7
fragment9625	7
fragment9626	7
fragment3167	7
fragment10496	7
fragment9981	7
fragment14467	7
fragment3355	7
fragment9954	7
fragment10820	7
fragment9729	7
fragment9639	7
fragment9704	7
fragment9630	7
fragment9735	7
fragment3166	7
fragment2532	7
fragment4201	7
fragment8666	7
fragment4414	7
fragment4281	7
fragment4075	7
fragment3207	7
fragment2699	7
fragment2702	7
fragment11289	7
fragment11184	7
fragment11183	7
fragment10607	7
fragment22909	7
fragment10877	7
fragment10815	7
fragment2621	7
fragment2632	7
fragment6444	7
fragment3197	7
fragment3174	7
fragment10438	7
fragment9492	7
fragment37924	7
fragment8637	7
fragment3741	7
fragment4280	7
fragment3365	7
fragment3209	7
fragment2657	7
fragment3480	7
fragment2212	7
fragment3349	7
fragment10502	7
fragment2440	7
fragment9943	7
fragment3056	7
fragment3006	7
fragment3007	7
fragment5733	7
fragment22705	7
fragment37189	7
fragment37085	7
fragment1583	7
fragment23973	7
fragment9945	7
fragment3636	7
fragment9692	7
fragment9643	7
fragment9676	7
fragment9680	7
fragment9661	7
fragment4185	7
fragment4183	7
fragment5258	7
fragment10450	7
fragment3839	7
fragment38084	7
fragment8841	7
fragment8641	7
fragment8846	7
fragment4413	7
fragment3742	7
fragment3972	7
fragment3997	7
fragment3998	7
fragment4074	7
fragment4073	7
fragment4080	7
fragment4079	7
fragment4123	7
fragment2648	7
fragment6628	7
fragment2018	7
fragment2017	7
fragment10504	7
fragment10503	7
fragment3352	7
fragment3468	7
fragment30260	7
fragment24594	7
fragment33468	7
fragment33467	7
fragment33470	7
fragment37072	7
fragment37071	7
fragment37068	7
fragment37102	7
fragment22716	7
fragment33014	7
fragment9956	7
fragment12200	7
fragment9950	7
fragment10510	7
fragment3028	7
fragment2639	7
fragment3030	7
fragment3019	7
fragment64	7
fragment9727	7
fragment2027	7
fragment63	7
