SequenceName	ClusterNumber
fragment2220	-1
fragment1490	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment1448	-1
fragment38100	-1
fragment1968	-1
fragment38218	-1
fragment1547	1
fragment1478	1
fragment1568	2
fragment1465	2
fragment1473	2
fragment1425	-1
fragment1571	-1
fragment1855	3
fragment1477	3
fragment1517	-1
fragment1574	-1
fragment1516	-1
fragment1461	-1
fragment37470	-1
fragment1859	-1
fragment2163	-1
fragment37872	-1
fragment37873	-1
fragment3629	4
fragment37875	4
fragment37876	4
fragment37629	4
fragment37631	4
fragment37606	4
fragment2997	4
fragment3633	4
fragment38075	4
fragment37612	4
fragment1594	4
fragment1592	4
fragment11090	4
fragment37867	4
fragment1925	4
fragment1928	4
fragment1927	4
fragment1930	4
fragment1944	4
fragment37877	4
fragment37881	4
fragment4343	4
fragment11287	4
fragment1923	4
fragment1922	4
fragment1938	4
fragment1936	4
fragment27081	4
fragment2148	4
fragment2016	4
fragment1939	4
fragment1941	4
fragment4334	4
fragment4342	4
fragment2594	4
fragment24652	4
fragment11376	4
fragment7485	4
fragment1940	4
fragment1924	4
fragment1937	4
fragment4346	4
fragment3046	4
fragment3047	4
fragment1931	4
fragment1933	4
fragment4344	4
fragment9720	4
fragment9616	4
fragment10470	4
fragment8686	4
fragment9594	4
fragment2734	4
fragment2125	4
fragment7484	4
fragment4341	4
fragment4273	4
fragment4134	4
fragment9593	4
fragment10821	4
fragment10819	4
fragment2739	4
fragment2153	4
fragment10655	4
fragment4338	4
fragment4337	4
fragment9647	4
fragment9495	4
fragment38155	4
fragment38156	4
fragment38145	4
fragment4348	4
fragment4307	4
fragment4329	4
fragment2613	4
fragment8769	4
fragment8771	4
fragment9948	4
fragment9947	4
fragment2736	4
fragment2738	4
fragment2636	4
fragment9649	4
fragment9645	4
fragment9672	4
fragment9620	4
fragment9610	4
fragment9614	4
fragment9627	4
fragment9629	4
fragment9625	4
fragment9626	4
fragment3167	4
fragment10496	4
fragment9981	4
fragment14467	4
fragment3355	4
fragment9954	4
fragment10820	4
fragment2066	4
fragment2070	4
fragment2068	4
fragment2012	4
fragment9729	4
fragment9639	4
fragment9704	4
fragment9630	4
fragment9735	4
fragment3166	4
fragment2532	4
fragment4201	4
fragment8666	4
fragment4414	4
fragment4281	4
fragment4075	4
fragment3207	4
fragment2699	4
fragment2702	4
fragment11289	4
fragment2809	4
fragment11184	4
fragment11183	4
fragment38240	4
fragment10607	4
fragment22909	4
fragment10877	4
fragment10815	4
fragment2621	4
fragment2632	4
fragment6444	4
fragment3197	4
fragment3174	4
fragment10438	4
fragment9492	4
fragment37924	4
fragment4349	4
fragment8637	4
fragment3741	4
fragment4280	4
fragment3365	4
fragment3209	4
fragment2657	4
fragment3480	4
fragment2212	4
fragment3349	4
fragment10502	4
fragment2440	4
fragment9943	4
fragment3056	4
fragment3006	4
fragment3007	4
fragment5733	4
fragment37615	4
fragment22705	4
fragment37189	4
fragment37085	4
fragment1583	4
fragment23973	4
fragment9945	4
fragment3636	4
fragment9692	4
fragment9643	4
fragment9676	4
fragment9680	4
fragment9661	4
fragment4185	4
fragment4183	4
fragment5258	4
fragment10450	4
fragment3839	4
fragment38084	4
fragment1993	4
fragment8841	4
fragment8641	4
fragment8846	4
fragment4413	4
fragment3742	4
fragment3972	4
fragment3997	4
fragment3998	4
fragment4074	4
fragment4073	4
fragment4080	4
fragment4079	4
fragment4123	4
fragment2648	4
fragment6628	4
fragment2775	4
fragment2018	4
fragment2017	4
fragment10504	4
fragment10503	4
fragment3352	4
fragment3468	4
fragment38228	4
fragment30260	4
fragment24594	4
fragment33468	4
fragment33467	4
fragment33470	4
fragment37072	4
fragment37071	4
fragment37068	4
fragment37102	4
fragment22716	4
fragment33014	4
fragment9956	4
fragment12200	4
fragment9950	4
fragment10510	4
fragment3028	4
fragment2639	4
fragment3030	4
fragment3019	4
fragment64	4
fragment9727	4
fragment2027	4
fragment63	4
fragment9689	4
fragment5152	4
fragment9677	4
fragment9996	4
fragment9668	4
fragment9655	4
fragment9652	4
fragment9654	4
fragment25652	4
fragment10443	4
fragment9514	4
fragment10444	4
fragment3907	4
fragment3908	4
fragment3915	4
fragment3913	4
fragment1955	4
fragment8788	4
fragment8787	4
fragment8591	4
fragment8615	4
fragment8843	4
fragment4061	4
fragment4027	4
fragment8835	4
fragment8808	4
fragment4077	4
fragment4272	4
fragment4271	4
