SequenceName	ClusterNumber
fragment2220	-1
fragment1490	-1
fragment1540	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment1509	-1
fragment1448	-1
fragment2785	-1
fragment37853	-1
fragment1984	-1
fragment38100	-1
fragment1968	-1
fragment38200	-1
fragment38206	-1
fragment38205	-1
fragment38197	-1
fragment38195	-1
fragment38218	-1
fragment38158	-1
fragment1547	1
fragment1478	1
fragment1568	2
fragment1465	2
fragment1473	2
fragment1425	-1
fragment1571	-1
fragment1855	3
fragment1477	3
fragment1517	-1
fragment1574	-1
fragment1516	-1
fragment1461	-1
fragment37470	-1
fragment1859	-1
fragment2554	4
fragment2553	4
fragment2555	-1
fragment2775	-1
fragment38240	-1
fragment1996	-1
fragment37885	-1
fragment37884	-1
fragment37886	-1
fragment2163	-1
fragment2993	-1
fragment37872	-1
fragment37873	-1
fragment2823	-1
fragment2824	-1
fragment1904	-1
fragment3629	5
fragment37875	5
fragment37876	5
fragment37629	5
fragment37631	5
fragment37606	5
fragment2997	5
fragment3633	5
fragment38075	5
fragment37612	5
fragment1594	5
fragment1592	5
fragment11090	5
fragment37867	5
fragment1925	5
fragment1928	5
fragment1927	5
fragment1930	5
fragment1944	5
fragment37877	5
fragment37881	5
fragment4343	5
fragment11287	5
fragment1923	5
fragment1922	5
fragment1938	5
fragment1936	5
fragment27081	5
fragment2148	5
fragment2016	5
fragment1939	5
fragment1941	5
fragment4334	5
fragment4342	5
fragment2594	5
fragment24652	5
fragment11376	5
fragment7485	5
fragment1940	5
fragment1924	5
fragment1937	5
fragment4346	5
fragment3046	5
fragment3047	5
fragment1931	5
fragment1933	5
fragment4344	5
fragment9720	5
fragment9616	5
fragment10470	5
fragment8686	5
fragment9594	5
fragment2734	5
fragment2125	5
fragment7484	5
fragment4341	5
fragment4273	5
fragment4134	5
fragment9593	5
fragment10821	5
fragment10819	5
fragment2739	5
fragment2153	5
fragment10655	5
fragment4338	5
fragment4337	5
fragment9647	5
fragment9495	5
fragment38155	5
fragment38156	5
fragment38145	5
fragment4348	5
fragment4307	5
fragment4329	5
fragment2613	5
fragment8769	5
fragment8771	5
fragment9948	5
fragment9947	5
fragment2736	5
fragment2738	5
fragment2636	5
fragment9649	5
fragment9645	5
fragment9672	5
fragment9620	5
fragment9610	5
fragment9614	5
fragment9627	5
fragment9629	5
fragment9625	5
fragment9626	5
fragment3167	5
fragment10496	5
fragment9981	5
fragment14467	5
fragment3355	5
fragment9954	5
fragment10820	5
fragment2066	5
fragment2070	5
fragment2068	5
fragment2012	5
fragment9729	5
fragment9639	5
fragment9704	5
fragment9630	5
fragment9735	5
fragment3166	5
fragment2532	5
fragment4201	5
fragment8666	5
fragment4414	5
fragment4281	5
fragment4075	5
fragment3207	5
fragment2699	5
fragment2702	5
fragment11289	5
fragment2809	5
fragment11184	5
fragment11183	5
fragment10607	5
fragment22909	5
fragment10877	5
fragment10815	5
fragment2621	5
fragment2632	5
fragment6444	5
fragment3197	5
fragment3174	5
fragment10438	5
fragment9492	5
fragment37924	5
fragment4349	5
fragment8637	5
fragment3741	5
fragment4280	5
fragment3365	5
fragment3209	5
fragment2657	5
fragment3480	5
fragment2212	5
fragment3349	5
fragment10502	5
fragment2440	5
fragment9943	5
fragment3056	5
fragment3006	5
fragment3007	5
fragment5733	5
fragment37615	5
fragment22705	5
fragment37189	5
fragment37085	5
fragment1583	5
fragment23973	5
fragment9945	5
fragment3636	5
fragment9692	5
fragment9643	5
fragment9676	5
fragment9680	5
fragment9661	5
fragment4185	5
fragment4183	5
fragment5258	5
fragment10450	5
fragment3839	5
fragment38084	5
fragment1993	5
fragment8841	5
fragment8641	5
fragment8846	5
fragment4413	5
fragment3742	5
fragment3972	5
fragment3997	5
fragment3998	5
fragment4074	5
fragment4073	5
fragment4080	5
fragment4079	5
fragment4123	5
fragment2648	5
fragment6628	5
fragment2018	5
fragment2017	5
fragment10504	5
fragment10503	5
fragment3352	5
fragment3468	5
fragment38228	5
fragment30260	5
fragment24594	5
fragment33468	5
fragment33467	5
fragment33470	5
fragment37072	5
fragment37071	5
fragment37068	5
fragment37102	5
fragment22716	5
fragment33014	5
fragment9956	5
fragment12200	5
fragment9950	5
fragment10510	5
fragment3028	5
fragment2639	5
fragment3030	5
fragment3019	5
fragment64	5
fragment9727	5
fragment2027	5
fragment63	5
fragment9689	5
fragment5152	5
fragment9677	5
fragment9996	5
fragment9668	5
